"product","Year","Cotton_yarn","Flock_yarn","Other_yarn","Total_yarn","Cotton_textiles","Flock_textiles","Other_textiles","Total_textiles","Raw_silk","pop"
"cotton_textiles_pop",1861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cotton_textiles_pop",1862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cotton_textiles_pop",1863,NA,NA,NA,NA,NA,NA,NA,NA,2106,NA
"cotton_textiles_pop",1864,NA,NA,NA,NA,NA,NA,NA,NA,1581,NA
"cotton_textiles_pop",1865,NA,NA,NA,NA,NA,NA,NA,NA,1596,NA
"cotton_textiles_pop",1866,NA,NA,NA,NA,NA,NA,NA,NA,1628,NA
"cotton_textiles_pop",1867,NA,NA,NA,NA,NA,NA,NA,NA,1797,NA
"cotton_textiles_pop",1868,NA,NA,NA,NA,NA,NA,NA,NA,1707,NA
"cotton_textiles_pop",1869,NA,NA,NA,NA,NA,NA,NA,NA,1980,NA
"cotton_textiles_pop",1870,NA,NA,NA,NA,NA,NA,NA,NA,2930,NA
"cotton_textiles_pop",1871,NA,NA,NA,NA,NA,NA,NA,NA,3473,NA
"cotton_textiles_pop",1872,NA,NA,NA,NA,NA,NA,NA,NA,3125,NA
"cotton_textiles_pop",1873,NA,NA,NA,NA,NA,NA,NA,NA,2960,NA
"cotton_textiles_pop",1874,NA,NA,NA,NA,NA,NA,NA,NA,3430,NA
"cotton_textiles_pop",1875,NA,NA,NA,NA,NA,NA,NA,NA,3073,NA
"cotton_textiles_pop",1876,NA,NA,NA,NA,NA,NA,NA,NA,1293,NA
"cotton_textiles_pop",1877,NA,NA,NA,NA,NA,NA,NA,NA,1853,NA
"cotton_textiles_pop",1878,NA,NA,NA,NA,NA,NA,NA,NA,2666,NA
"cotton_textiles_pop",1879,NA,NA,NA,NA,NA,NA,NA,NA,1324,NA
"cotton_textiles_pop",1880,NA,NA,NA,NA,NA,NA,NA,NA,2874,NA
"cotton_textiles_pop",1881,NA,NA,NA,NA,NA,NA,NA,NA,2747,NA
"cotton_textiles_pop",1882,NA,NA,NA,NA,NA,NA,NA,NA,2181,NA
"cotton_textiles_pop",1883,NA,NA,NA,NA,NA,NA,NA,NA,2994,NA
"cotton_textiles_pop",1884,NA,NA,NA,NA,NA,NA,NA,NA,2810,NA
"cotton_textiles_pop",1885,NA,NA,NA,NA,NA,NA,NA,NA,2457,NA
"cotton_textiles_pop",1886,NA,NA,NA,NA,NA,NA,NA,NA,3188,NA
"cotton_textiles_pop",1887,NA,NA,NA,NA,NA,NA,NA,NA,3476,NA
"cotton_textiles_pop",1888,NA,NA,NA,NA,NA,NA,NA,NA,3566,NA
"cotton_textiles_pop",1889,NA,NA,NA,NA,NA,NA,NA,NA,4175,NA
"cotton_textiles_pop",1890,NA,NA,NA,NA,NA,NA,NA,NA,4725,NA
"cotton_textiles_pop",1891,NA,NA,NA,NA,NA,NA,NA,NA,4380,NA
"cotton_textiles_pop",1892,NA,NA,NA,NA,NA,NA,NA,NA,4070,NA
"cotton_textiles_pop",1893,NA,NA,NA,NA,NA,NA,NA,NA,5430,NA
"cotton_textiles_pop",1894,NA,NA,NA,NA,NA,NA,NA,NA,5070,NA
"cotton_textiles_pop",1895,NA,NA,NA,NA,NA,NA,NA,NA,5105,NA
"cotton_textiles_pop",1896,NA,NA,NA,NA,NA,NA,NA,NA,4960,NA
"cotton_textiles_pop",1897,NA,NA,NA,NA,NA,NA,NA,NA,4400,NA
"cotton_textiles_pop",1898,NA,NA,NA,NA,NA,NA,NA,NA,4735,NA
"cotton_textiles_pop",1899,NA,NA,NA,NA,NA,NA,NA,NA,5100,NA
"cotton_textiles_pop",1900,NA,NA,NA,118602,NA,NA,NA,NA,5132,NA
"cotton_textiles_pop",1901,NA,NA,NA,117425,NA,NA,NA,NA,5049,NA
"cotton_textiles_pop",1902,NA,NA,NA,128071,NA,NA,NA,NA,5430,NA
"cotton_textiles_pop",1903,NA,NA,NA,133993,NA,NA,NA,NA,4626,NA
"cotton_textiles_pop",1904,NA,NA,NA,134502,NA,NA,NA,NA,5651,NA
"cotton_textiles_pop",1905,NA,NA,NA,143430,NA,NA,NA,NA,5552,NA
"cotton_textiles_pop",1906,NA,NA,NA,165818,NA,NA,NA,NA,6047,NA
"cotton_textiles_pop",1907,NA,NA,NA,189513,NA,NA,NA,NA,6173,NA
"cotton_textiles_pop",1908,NA,NA,NA,179776,NA,NA,NA,NA,5498,NA
"cotton_textiles_pop",1909,NA,NA,NA,165886,NA,NA,NA,NA,5661,NA
"cotton_textiles_pop",1910,NA,NA,NA,151824,NA,NA,NA,NA,4981,NA
"cotton_textiles_pop",1911,NA,NA,NA,165102,NA,NA,NA,NA,4714,NA
"cotton_textiles_pop",1912,NA,NA,NA,186216,NA,NA,NA,NA,5207,NA
"cotton_textiles_pop",1913,NA,NA,NA,175570,NA,NA,NA,NA,4702,NA
"cotton_textiles_pop",1914,NA,NA,NA,165818,NA,NA,NA,NA,4469,NA
"cotton_textiles_pop",1915,NA,NA,NA,253341,NA,NA,NA,NA,3066,NA
"cotton_textiles_pop",1916,NA,NA,NA,220566,NA,NA,NA,NA,3849,NA
"cotton_textiles_pop",1917,NA,NA,NA,156107,NA,NA,NA,NA,2864,NA
"cotton_textiles_pop",1918,NA,NA,NA,113371,NA,NA,NA,NA,2712,NA
"cotton_textiles_pop",1919,NA,NA,NA,155389,NA,NA,NA,NA,2134,NA
"cotton_textiles_pop",1920,NA,NA,NA,148220,NA,NA,NA,NA,3782,NA
"cotton_textiles_pop",1921,NA,NA,NA,132960,94010,NA,NA,94010,3478,57
"cotton_textiles_pop",1922,NA,NA,NA,156000,101100,NA,NA,101100,3990,61.3
"cotton_textiles_pop",1923,NA,NA,NA,164410,105430,NA,NA,105430,5223,63.9
"cotton_textiles_pop",1924,NA,NA,NA,173207,121800,NA,NA,121800,5592,73.8
"cotton_textiles_pop",1925,NA,NA,NA,198503,134240,NA,NA,134240,5097,81.4
"cotton_textiles_pop",1926,NA,NA,NA,198700,130050,NA,NA,130050,4366,78.8
"cotton_textiles_pop",1927,NA,NA,NA,178580,116000,NA,NA,116000,5010,70.3
"cotton_textiles_pop",1928,NA,NA,NA,196000,125725,3644,781,130150,5568,76.2
"cotton_textiles_pop",1929,NA,NA,NA,219820,135296,4500,844,140640,5521,82
"cotton_textiles_pop",1930,NA,NA,NA,183980,109650,3530,810,113990,5289,66.5
"cotton_textiles_pop",1931,NA,NA,NA,153380,94624,4364,782,99770,3660,57.4
"cotton_textiles_pop",1932,NA,NA,NA,169060,95242,4690,818,100750,3927,57.7
"cotton_textiles_pop",1933,NA,NA,NA,190780,109704,6336,1290,117330,3548,66.5
"cotton_textiles_pop",1934,171424,NA,1636,173060,103055,6848,2357,112260,3081,62.5
"cotton_textiles_pop",1935,157957,NA,13253,171210,104486,10365,4289,119140,1727,63.4
"cotton_textiles_pop",1936,115776,23668,936,140380,83968,19123,3739,106830,3207,50.9
"cotton_textiles_pop",1937,139648,45086,2546,187280,90445,36126,4319,130890,3197,54.8
"cotton_textiles_pop",1938,135430,34705,8309,178444,93752,37007,4662,135421,2004,56.8
"cotton_textiles_pop",1939,119654,60394,12088,192136,84574,50010,5943,140527,3093,51.3
"cotton_textiles_pop",1940,95549,69954,12047,177550,74967,63046,6756,144769,2865,45.5
"cotton_textiles_pop",1941,25573,81887,7980,115440,27023,78208,3970,109201,3325,16.4
"cotton_textiles_pop",1942,4702,41380,30040,76122,9773,64589,3399,77761,2462,5.9
"cotton_textiles_pop",1943,3609,22699,22612,48920,8888,41869,3731,54488,1373,5.4
"cotton_textiles_pop",1944,711,10326,5519,16556,1362,23265,2849,27476,1066,0.8
"cotton_textiles_pop",1945,6039,1762,2099,9900,7219,2136,7081,16436,855,4.4
"cotton_textiles_pop",1946,123073,4988,6740,134801,81916,5696,14693,102305,1990,49.7
"cotton_textiles_pop",1947,171713,7129,948,179790,99709,5761,16724,122194,1653,60.5
"cotton_textiles_pop",1948,176601,11000,1777,189378,112600,9813,16777,139190,1966,68.3
"cotton_textiles_pop",1949,182191,19553,6769,208513,109756,16774,17682,144212,1136,66.5
"cotton_textiles_pop",1950,183149,26534,6733,216416,118111,19832,19270,157213,1373,71.6
"cotton_textiles_pop",1951,191236,32303,7489,231028,123399,23301,21442,168142,1215,74.8
"cotton_textiles_pop",1952,173266,22436,7443,203145,111452,17170,17439,146061,1572,67.6
"cotton_textiles_pop",1953,163740,23087,6562,193389,107860,18136,21004,147000,1479,65.4
"cotton_textiles_pop",1954,166876,26327,9665,202868,115063,19946,23199,158208,1300,69.8
"cotton_textiles_pop",1955,145327,19001,10739,175067,101144,14649,21277,137070,1138,61.3
"cotton_textiles_pop",1956,151184,26082,12950,190216,106356,16063,21615,144034,997,64.5
"cotton_textiles_pop",1957,171171,27525,13030,211726,116632,19577,23599,159808,789,70.7
"cotton_textiles_pop",1958,160305,26407,12757,199469,114449,19322,23466,157237,828,69.4
"cotton_textiles_pop",1959,173868,26963,13401,214232,120369,19822,26221,166412,929,73
"cotton_textiles_pop",1960,193457,29627,15470,238554,133563,20688,29027,183278,892,81
"cotton_textiles_pop",1961,193110,29093,17112,239315,131198,21146,29855,182199,761,79.5
"cotton_textiles_pop",1962,194653,35223,19335,249211,136809,24359,32978,194146,776,82.9
"cotton_textiles_pop",1963,191277,34408,25721,251406,137140,26633,38512,202285,618,83.1
"cotton_textiles_pop",1964,185166,31191,23775,240132,126771,21546,35922,184239,561,76.9
"cotton_textiles_pop",1965,156819,24821,19198,200838,96961,15829,33035,145825,611,58.8
"cotton_textiles_pop",1966,197070,25180,29181,251431,120306,12213,45754,178273,550,72.9
"cotton_textiles_pop",1967,194591,22892,29267,246750,118097,9534,51813,179444,478,71.6
"cotton_textiles_pop",1968,178167,23266,31815,233248,111082,8881,53720,173683,534,67.3
"cotton_textiles_pop",1969,181784,23858,48800,254442,108803,7926,59923,176652,499,66
"cotton_textiles_pop",1970,173197,23061,50437,246695,108957,6526,59871,175354,308,66.1
"cotton_textiles_pop",1971,154034,20518,50659,225211,103331,5772,54194,163297,153,62.6
"cotton_textiles_pop",1972,153856,17778,66805,238439,103307,5036,53676,162019,155,62.6
"cotton_textiles_pop",1973,147978,15090,74190,237258,104560,6020,60350,170930,119,63.4
"cotton_textiles_pop",1974,149065,14409,72891,236365,113133,5600,63184,181917,89,68.6
"cotton_textiles_pop",1975,138131,8909,53391,200431,104525,4532,51270,160327,55,63.4
"cotton_textiles_pop",1976,161003,11562,61223,233788,121620,5983,53586,181189,38,73.7
"cotton_textiles_pop",1977,146648,10009,55113,211770,111049,8837,51099,170985,NA,67.3
"cotton_textiles_pop",1978,159910,21454,44543,225907,115357,9394,50268,175019,NA,69.9
"cotton_textiles_pop",1979,171588,21753,48682,242023,129794,10472,57416,197682,NA,78.7
"cotton_textiles_pop",1980,170187,18974,42007,231168,138437,8995,56808,204240,NA,83.9
"cotton_textiles_pop",1981,160478,15192,39826,215496,145738,5878,64049,215665,NA,88.4
"cotton_textiles_pop",1982,159241,15880,49702,224823,150206,9904,61187,221297,NA,91.1
"cotton_textiles_pop",1983,149959,14240,52379,216578,147547,3369,55042,205958,NA,89.5
"cotton_textiles_pop",1984,164632,13421,52487,230540,164934,3338,63119,231391,NA,100
"cotton_textiles_pop",1985,161621,10132,49362,221115,160457,6504,59440,226401,NA,97.3
"cotton_yarn_pop",1861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cotton_yarn_pop",1862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cotton_yarn_pop",1863,NA,NA,NA,NA,NA,NA,NA,NA,2106,NA
"cotton_yarn_pop",1864,NA,NA,NA,NA,NA,NA,NA,NA,1581,NA
"cotton_yarn_pop",1865,NA,NA,NA,NA,NA,NA,NA,NA,1596,NA
"cotton_yarn_pop",1866,NA,NA,NA,NA,NA,NA,NA,NA,1628,NA
"cotton_yarn_pop",1867,NA,NA,NA,NA,NA,NA,NA,NA,1797,NA
"cotton_yarn_pop",1868,NA,NA,NA,NA,NA,NA,NA,NA,1707,NA
"cotton_yarn_pop",1869,NA,NA,NA,NA,NA,NA,NA,NA,1980,NA
"cotton_yarn_pop",1870,NA,NA,NA,NA,NA,NA,NA,NA,2930,NA
"cotton_yarn_pop",1871,NA,NA,NA,NA,NA,NA,NA,NA,3473,NA
"cotton_yarn_pop",1872,NA,NA,NA,NA,NA,NA,NA,NA,3125,NA
"cotton_yarn_pop",1873,NA,NA,NA,NA,NA,NA,NA,NA,2960,NA
"cotton_yarn_pop",1874,NA,NA,NA,NA,NA,NA,NA,NA,3430,NA
"cotton_yarn_pop",1875,NA,NA,NA,NA,NA,NA,NA,NA,3073,NA
"cotton_yarn_pop",1876,NA,NA,NA,NA,NA,NA,NA,NA,1293,NA
"cotton_yarn_pop",1877,NA,NA,NA,NA,NA,NA,NA,NA,1853,NA
"cotton_yarn_pop",1878,NA,NA,NA,NA,NA,NA,NA,NA,2666,NA
"cotton_yarn_pop",1879,NA,NA,NA,NA,NA,NA,NA,NA,1324,NA
"cotton_yarn_pop",1880,NA,NA,NA,NA,NA,NA,NA,NA,2874,NA
"cotton_yarn_pop",1881,NA,NA,NA,NA,NA,NA,NA,NA,2747,NA
"cotton_yarn_pop",1882,NA,NA,NA,NA,NA,NA,NA,NA,2181,NA
"cotton_yarn_pop",1883,NA,NA,NA,NA,NA,NA,NA,NA,2994,NA
"cotton_yarn_pop",1884,NA,NA,NA,NA,NA,NA,NA,NA,2810,NA
"cotton_yarn_pop",1885,NA,NA,NA,NA,NA,NA,NA,NA,2457,NA
"cotton_yarn_pop",1886,NA,NA,NA,NA,NA,NA,NA,NA,3188,NA
"cotton_yarn_pop",1887,NA,NA,NA,NA,NA,NA,NA,NA,3476,NA
"cotton_yarn_pop",1888,NA,NA,NA,NA,NA,NA,NA,NA,3566,NA
"cotton_yarn_pop",1889,NA,NA,NA,NA,NA,NA,NA,NA,4175,NA
"cotton_yarn_pop",1890,NA,NA,NA,NA,NA,NA,NA,NA,4725,NA
"cotton_yarn_pop",1891,NA,NA,NA,NA,NA,NA,NA,NA,4380,NA
"cotton_yarn_pop",1892,NA,NA,NA,NA,NA,NA,NA,NA,4070,NA
"cotton_yarn_pop",1893,NA,NA,NA,NA,NA,NA,NA,NA,5430,NA
"cotton_yarn_pop",1894,NA,NA,NA,NA,NA,NA,NA,NA,5070,NA
"cotton_yarn_pop",1895,NA,NA,NA,NA,NA,NA,NA,NA,5105,NA
"cotton_yarn_pop",1896,NA,NA,NA,NA,NA,NA,NA,NA,4960,NA
"cotton_yarn_pop",1897,NA,NA,NA,NA,NA,NA,NA,NA,4400,NA
"cotton_yarn_pop",1898,NA,NA,NA,NA,NA,NA,NA,NA,4735,NA
"cotton_yarn_pop",1899,NA,NA,NA,NA,NA,NA,NA,NA,5100,NA
"cotton_yarn_pop",1900,NA,NA,NA,118602,NA,NA,NA,NA,5132,NA
"cotton_yarn_pop",1901,NA,NA,NA,117425,NA,NA,NA,NA,5049,NA
"cotton_yarn_pop",1902,NA,NA,NA,128071,NA,NA,NA,NA,5430,NA
"cotton_yarn_pop",1903,NA,NA,NA,133993,NA,NA,NA,NA,4626,NA
"cotton_yarn_pop",1904,NA,NA,NA,134502,NA,NA,NA,NA,5651,NA
"cotton_yarn_pop",1905,NA,NA,NA,143430,NA,NA,NA,NA,5552,NA
"cotton_yarn_pop",1906,NA,NA,NA,165818,NA,NA,NA,NA,6047,NA
"cotton_yarn_pop",1907,NA,NA,NA,189513,NA,NA,NA,NA,6173,NA
"cotton_yarn_pop",1908,NA,NA,NA,179776,NA,NA,NA,NA,5498,NA
"cotton_yarn_pop",1909,NA,NA,NA,165886,NA,NA,NA,NA,5661,NA
"cotton_yarn_pop",1910,NA,NA,NA,151824,NA,NA,NA,NA,4981,NA
"cotton_yarn_pop",1911,NA,NA,NA,165102,NA,NA,NA,NA,4714,NA
"cotton_yarn_pop",1912,NA,NA,NA,186216,NA,NA,NA,NA,5207,NA
"cotton_yarn_pop",1913,NA,NA,NA,175570,NA,NA,NA,NA,4702,NA
"cotton_yarn_pop",1914,NA,NA,NA,165818,NA,NA,NA,NA,4469,NA
"cotton_yarn_pop",1915,NA,NA,NA,253341,NA,NA,NA,NA,3066,NA
"cotton_yarn_pop",1916,NA,NA,NA,220566,NA,NA,NA,NA,3849,NA
"cotton_yarn_pop",1917,NA,NA,NA,156107,NA,NA,NA,NA,2864,NA
"cotton_yarn_pop",1918,NA,NA,NA,113371,NA,NA,NA,NA,2712,NA
"cotton_yarn_pop",1919,NA,NA,NA,155389,NA,NA,NA,NA,2134,NA
"cotton_yarn_pop",1920,NA,NA,NA,148220,NA,NA,NA,NA,3782,NA
"cotton_yarn_pop",1921,NA,NA,NA,132960,94010,NA,NA,94010,3478,NA
"cotton_yarn_pop",1922,NA,NA,NA,156000,101100,NA,NA,101100,3990,NA
"cotton_yarn_pop",1923,NA,NA,NA,164410,105430,NA,NA,105430,5223,NA
"cotton_yarn_pop",1924,NA,NA,NA,173207,121800,NA,NA,121800,5592,NA
"cotton_yarn_pop",1925,NA,NA,NA,198503,134240,NA,NA,134240,5097,NA
"cotton_yarn_pop",1926,NA,NA,NA,198700,130050,NA,NA,130050,4366,NA
"cotton_yarn_pop",1927,NA,NA,NA,178580,116000,NA,NA,116000,5010,NA
"cotton_yarn_pop",1928,NA,NA,NA,196000,125725,3644,781,130150,5568,NA
"cotton_yarn_pop",1929,NA,NA,NA,219820,135296,4500,844,140640,5521,NA
"cotton_yarn_pop",1930,NA,NA,NA,183980,109650,3530,810,113990,5289,NA
"cotton_yarn_pop",1931,NA,NA,NA,153380,94624,4364,782,99770,3660,NA
"cotton_yarn_pop",1932,NA,NA,NA,169060,95242,4690,818,100750,3927,NA
"cotton_yarn_pop",1933,NA,NA,NA,190780,109704,6336,1290,117330,3548,NA
"cotton_yarn_pop",1934,171424,NA,1636,173060,103055,6848,2357,112260,3081,87
"cotton_yarn_pop",1935,157957,NA,13253,171210,104486,10365,4289,119140,1727,80.2
"cotton_yarn_pop",1936,115776,23668,936,140380,83968,19123,3739,106830,3207,58.7
"cotton_yarn_pop",1937,139648,45086,2546,187280,90445,36126,4319,130890,3197,70.9
"cotton_yarn_pop",1938,135430,34705,8309,178444,93752,37007,4662,135421,2004,68.7
"cotton_yarn_pop",1939,119654,60394,12088,192136,84574,50010,5943,140527,3093,60.7
"cotton_yarn_pop",1940,95549,69954,12047,177550,74967,63046,6756,144769,2865,48.5
"cotton_yarn_pop",1941,25573,81887,7980,115440,27023,78208,3970,109201,3325,13
"cotton_yarn_pop",1942,4702,41380,30040,76122,9773,64589,3399,77761,2462,2.4
"cotton_yarn_pop",1943,3609,22699,22612,48920,8888,41869,3731,54488,1373,1.8
"cotton_yarn_pop",1944,711,10326,5519,16556,1362,23265,2849,27476,1066,0.4
"cotton_yarn_pop",1945,6039,1762,2099,9900,7219,2136,7081,16436,855,3.1
"cotton_yarn_pop",1946,123073,4988,6740,134801,81916,5696,14693,102305,1990,62.5
"cotton_yarn_pop",1947,171713,7129,948,179790,99709,5761,16724,122194,1653,87.1
"cotton_yarn_pop",1948,176601,11000,1777,189378,112600,9813,16777,139190,1966,89.6
"cotton_yarn_pop",1949,182191,19553,6769,208513,109756,16774,17682,144212,1136,92.4
"cotton_yarn_pop",1950,183149,26534,6733,216416,118111,19832,19270,157213,1373,92.9
"cotton_yarn_pop",1951,191236,32303,7489,231028,123399,23301,21442,168142,1215,97
"cotton_yarn_pop",1952,173266,22436,7443,203145,111452,17170,17439,146061,1572,87.9
"cotton_yarn_pop",1953,163740,23087,6562,193389,107860,18136,21004,147000,1479,83.1
"cotton_yarn_pop",1954,166876,26327,9665,202868,115063,19946,23199,158208,1300,84.7
"cotton_yarn_pop",1955,145327,19001,10739,175067,101144,14649,21277,137070,1138,73.7
"cotton_yarn_pop",1956,151184,26082,12950,190216,106356,16063,21615,144034,997,76.7
"cotton_yarn_pop",1957,171171,27525,13030,211726,116632,19577,23599,159808,789,86.9
"cotton_yarn_pop",1958,160305,26407,12757,199469,114449,19322,23466,157237,828,81.3
"cotton_yarn_pop",1959,173868,26963,13401,214232,120369,19822,26221,166412,929,88.2
"cotton_yarn_pop",1960,193457,29627,15470,238554,133563,20688,29027,183278,892,98.2
"cotton_yarn_pop",1961,193110,29093,17112,239315,131198,21146,29855,182199,761,98
"cotton_yarn_pop",1962,194653,35223,19335,249211,136809,24359,32978,194146,776,98.8
"cotton_yarn_pop",1963,191277,34408,25721,251406,137140,26633,38512,202285,618,97.1
"cotton_yarn_pop",1964,185166,31191,23775,240132,126771,21546,35922,184239,561,94
"cotton_yarn_pop",1965,156819,24821,19198,200838,96961,15829,33035,145825,611,79.6
"cotton_yarn_pop",1966,197070,25180,29181,251431,120306,12213,45754,178273,550,100
"cotton_yarn_pop",1967,194591,22892,29267,246750,118097,9534,51813,179444,478,98.7
"cotton_yarn_pop",1968,178167,23266,31815,233248,111082,8881,53720,173683,534,90.4
"cotton_yarn_pop",1969,181784,23858,48800,254442,108803,7926,59923,176652,499,92.2
"cotton_yarn_pop",1970,173197,23061,50437,246695,108957,6526,59871,175354,308,87.9
"cotton_yarn_pop",1971,154034,20518,50659,225211,103331,5772,54194,163297,153,78.2
"cotton_yarn_pop",1972,153856,17778,66805,238439,103307,5036,53676,162019,155,78.1
"cotton_yarn_pop",1973,147978,15090,74190,237258,104560,6020,60350,170930,119,75.1
"cotton_yarn_pop",1974,149065,14409,72891,236365,113133,5600,63184,181917,89,75.6
"cotton_yarn_pop",1975,138131,8909,53391,200431,104525,4532,51270,160327,55,70.1
"cotton_yarn_pop",1976,161003,11562,61223,233788,121620,5983,53586,181189,38,81.7
"cotton_yarn_pop",1977,146648,10009,55113,211770,111049,8837,51099,170985,NA,74.4
"cotton_yarn_pop",1978,159910,21454,44543,225907,115357,9394,50268,175019,NA,81.1
"cotton_yarn_pop",1979,171588,21753,48682,242023,129794,10472,57416,197682,NA,87.1
"cotton_yarn_pop",1980,170187,18974,42007,231168,138437,8995,56808,204240,NA,86.4
"cotton_yarn_pop",1981,160478,15192,39826,215496,145738,5878,64049,215665,NA,81.4
"cotton_yarn_pop",1982,159241,15880,49702,224823,150206,9904,61187,221297,NA,80.8
"cotton_yarn_pop",1983,149959,14240,52379,216578,147547,3369,55042,205958,NA,76.1
"cotton_yarn_pop",1984,164632,13421,52487,230540,164934,3338,63119,231391,NA,83.5
"cotton_yarn_pop",1985,161621,10132,49362,221115,160457,6504,59440,226401,NA,82
"flock_textiles_pop",1861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"flock_textiles_pop",1862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"flock_textiles_pop",1863,NA,NA,NA,NA,NA,NA,NA,NA,2106,NA
"flock_textiles_pop",1864,NA,NA,NA,NA,NA,NA,NA,NA,1581,NA
"flock_textiles_pop",1865,NA,NA,NA,NA,NA,NA,NA,NA,1596,NA
"flock_textiles_pop",1866,NA,NA,NA,NA,NA,NA,NA,NA,1628,NA
"flock_textiles_pop",1867,NA,NA,NA,NA,NA,NA,NA,NA,1797,NA
"flock_textiles_pop",1868,NA,NA,NA,NA,NA,NA,NA,NA,1707,NA
"flock_textiles_pop",1869,NA,NA,NA,NA,NA,NA,NA,NA,1980,NA
"flock_textiles_pop",1870,NA,NA,NA,NA,NA,NA,NA,NA,2930,NA
"flock_textiles_pop",1871,NA,NA,NA,NA,NA,NA,NA,NA,3473,NA
"flock_textiles_pop",1872,NA,NA,NA,NA,NA,NA,NA,NA,3125,NA
"flock_textiles_pop",1873,NA,NA,NA,NA,NA,NA,NA,NA,2960,NA
"flock_textiles_pop",1874,NA,NA,NA,NA,NA,NA,NA,NA,3430,NA
"flock_textiles_pop",1875,NA,NA,NA,NA,NA,NA,NA,NA,3073,NA
"flock_textiles_pop",1876,NA,NA,NA,NA,NA,NA,NA,NA,1293,NA
"flock_textiles_pop",1877,NA,NA,NA,NA,NA,NA,NA,NA,1853,NA
"flock_textiles_pop",1878,NA,NA,NA,NA,NA,NA,NA,NA,2666,NA
"flock_textiles_pop",1879,NA,NA,NA,NA,NA,NA,NA,NA,1324,NA
"flock_textiles_pop",1880,NA,NA,NA,NA,NA,NA,NA,NA,2874,NA
"flock_textiles_pop",1881,NA,NA,NA,NA,NA,NA,NA,NA,2747,NA
"flock_textiles_pop",1882,NA,NA,NA,NA,NA,NA,NA,NA,2181,NA
"flock_textiles_pop",1883,NA,NA,NA,NA,NA,NA,NA,NA,2994,NA
"flock_textiles_pop",1884,NA,NA,NA,NA,NA,NA,NA,NA,2810,NA
"flock_textiles_pop",1885,NA,NA,NA,NA,NA,NA,NA,NA,2457,NA
"flock_textiles_pop",1886,NA,NA,NA,NA,NA,NA,NA,NA,3188,NA
"flock_textiles_pop",1887,NA,NA,NA,NA,NA,NA,NA,NA,3476,NA
"flock_textiles_pop",1888,NA,NA,NA,NA,NA,NA,NA,NA,3566,NA
"flock_textiles_pop",1889,NA,NA,NA,NA,NA,NA,NA,NA,4175,NA
"flock_textiles_pop",1890,NA,NA,NA,NA,NA,NA,NA,NA,4725,NA
